lipid	pheno	pval	beta	std	fdr_pval
LPC(P-17:0) (a)	ADA2010_Cat	0.0008397923486113	-0.0373356546816978	0.0111653441048113	0.0024457110503416806
LPC(P-17:0) (b)	ADA2010_Cat	0.4030619133282334	0.0081755834181179	0.0097756109974279	0.4941527150109804
LPC(P-18:0)	ADA2010_Cat	0.0071509477449546	0.0205226451657801	0.0076229568342708	0.015869750343081065
LPC(P-18:1)	ADA2010_Cat	0.5947650488224958	0.0053423313460608	0.0100415968558964	0.6744847704786736
LPC(P-20:0)	ADA2010_Cat	0.0007950061863271	0.0412623155464298	0.0122835980346354	0.002331643585340965
PE(15-MHDA_18:1)	ADA2010_Cat	0.1136952645034026	0.019477691987846	0.0123087936629712	0.17315058630793426
PE(15-MHDA_18:2)	ADA2010_Cat	4.7047570244486515e-09	0.0737471912907767	0.0125408759984957	4.4884463566579087e-08
PE(15-MHDA_20:4)	ADA2010_Cat	0.5342287316476148	-0.0081374526173534	0.0130898686748429	0.6192874961836875
PE(15-MHDA_22:6)	ADA2010_Cat	0.1208617107220701	0.0271300627741076	0.017483424290347	0.18042305737287442
PE(16:0_16:0)	ADA2010_Cat	2.7776924707985358e-06	0.0717465081978075	0.0152694507281355	1.3959465624861997e-05
PE(16:0_16:1)	ADA2010_Cat	0.0009053515134953	0.0413653027540582	0.0124486643457127	0.002563045123307687
PE(16:0_18:1)	ADA2010_Cat	1.3812483902427056e-06	0.0438916917523976	0.0090668975319008	7.396362347751263e-06
PE(16:0_18:2)	ADA2010_Cat	6.046174055542276e-17	0.0808485127919588	0.0095891110553989	4.181937055083407e-15
PE(16:0_18:3) (a)	ADA2010_Cat	6.630909145526802e-12	0.1035213286994121	0.0149974557525852	1.425264710711498e-10
PE(16:0_18:3) (b)	ADA2010_Cat	0.0001876290359832	0.0509112489460242	0.0136076027958634	0.0006356412239430857
PE(16:0_20:3)	ADA2010_Cat	8.172895368774351e-10	0.0615358477300014	0.0099761786342793	8.809744358548976e-09
PE(16:0_20:4)	ADA2010_Cat	0.0031876011348019	0.0273731339590939	0.0092719560720242	0.007850768373547706
PE(16:0_20:5)	ADA2010_Cat	0.0010113134997984	0.0425709189360767	0.0129327482025739	0.0028073250997748224
PE(16:0_22:6)	ADA2010_Cat	0.0001819881040638	0.0476199718336685	0.0127017264356925	0.0006216054583249136
PE(16:1_18:2)	ADA2010_Cat	5.448000420383235e-08	0.0852704437243152	0.0156324789422908	3.9665266218579696e-07
PE(16:1_20:4)	ADA2010_Cat	0.0005639870840634	0.0575358363613305	0.0166608524225677	0.0017209899991640512
PE(17:0_18:1)	ADA2010_Cat	3.646146558253284e-05	0.0470007366191422	0.0113605340573547	0.00014256679673914168
